execution;accuracy;precision;recall
0;0.7800546448087432;0.7454145886431566;0.6605205825937767
1;0.7834699453551912;0.7489622834934213;0.6557825161320717
2;0.7725409836065574;0.7530275050485186;0.64200997686524
3;0.7735655737704918;0.7354353930994207;0.6502909283031291
4;0.7725409836065574;0.7400394061936834;0.6475536000322087
5;0.7790300546448088;0.7531729586277197;0.6538407628833354
6;0.7609289617486339;0.7215486212929002;0.6402075180987986
7;0.7721994535519126;0.7384814597806887;0.6456740934231011
8;0.7790300546448088;0.7472698558374228;0.6530146449815526
9;0.7780054644808743;0.7535270907497901;0.6643841554626597
10;0.7622950819672131;0.7240569639059888;0.6339089990018996
11;0.7742486338797814;0.738533013922953;0.643945887091168
12;0.773224043715847;0.7481426270582933;0.648726174110788
13;0.7739071038251366;0.7482843669671627;0.6514926426788522
14;0.7807377049180327;0.7546852943837056;0.6589321789321789
15;0.7636612021857924;0.7203100603480599;0.6390981457318173
16;0.7786885245901639;0.7542903239615568;0.6586783815906511
17;0.7636612021857924;0.7334824503403711;0.6475967545239492
18;0.7790300546448088;0.7515952534866623;0.6568172620201288
19;0.7783469945355191;0.7471549004352017;0.6590333388707726
20;0.7718579234972678;0.7236339636854391;0.633635153531818
21;0.7742486338797814;0.7373348161305704;0.6523781787660815
22;0.7783469945355191;0.751162800829368;0.6602271277128321
23;0.7807377049180327;0.7562154493336201;0.6615252616678667
24;0.7780054644808743;0.747129862608269;0.6516793476318109
25;0.7704918032786885;0.7391748953440066;0.6504674383954664
26;0.7766393442622951;0.7516003580035019;0.6592466358926242
27;0.780396174863388;0.73955232871505;0.6683025977854221
28;0.7769808743169399;0.7593597287659889;0.6545468217016953
29;0.7814207650273224;0.7368613305139576;0.6509825341506349
